MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
00:c0:ca:85:06:23,wyman,[WPA2-PSK-CCMP][ESS],2015-09-11 20:30:35,6,-78,39.32625867,-76.62385032,22,8,WIFI
6c:b0:ce:f2:06:e8,NETGEAR15,[WPA2-PSK-CCMP][WPS][ESS],2015-09-11 20:30:35,1,-87,39.32625867,-76.62385032,22,8,WIFI
8e:04:ff:74:4e:17,xfinitywifi,[ESS],2015-09-11 20:30:35,6,-90,39.32625867,-76.62385032,22,8,WIFI
f4:4e:05:98:62:a2,eduroam,[WPA2-EAP-CCMP][ESS],2015-09-11 20:30:35,1,-81,39.32625867,-76.62385032,22,8,WIFI
8e:04:ff:74:4e:16,,[WPA2-PSK-CCMP][ESS],2015-09-11 20:30:35,6,-84,39.32625867,-76.62385032,22,8,WIFI
8c:04:ff:74:4e:15,HOME-4E15,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2015-09-11 20:30:35,6,-90,39.32625867,-76.62385032,22,8,WIFI
310260_20233_10246147,T-Mobile ,UNKNOWN;us,2015-09-11 20:30:35,0,-113,39.32625867,-76.62385032,22,8,GSM
0c:82:68:e9:65:ca,TP-LINK_E965CA,[WPA-PSK-CCMP][WPA2-PSK-CCMP][ESS],2015-09-11 20:30:43,6,-93,39.32639631,-76.62361839,29,4,WIFI
fc:5b:39:50:0b:02,eduroam,[WPA2-EAP-CCMP][ESS],2015-09-11 20:30:51,11,-84,39.32650837,-76.62340669,32,4,WIFI
fc:5b:39:50:0b:01,JHGuestnet,[ESS],2015-09-11 20:30:51,11,-84,39.32650837,-76.62340669,32,4,WIFI
00:c0:ca:85:06:23,wyman,[WPA2-PSK-CCMP][ESS],2015-09-11 20:31:07,6,-90,39.32733219,-76.62353297,24,5,WIFI
310260_20233_10246147,T-Mobile ,UNKNOWN;us,2015-09-11 20:31:07,0,-113,39.32733219,-76.62353297,24,5,GSM
02:3b:1e:11:3b:00,ikwb,[IBSS],2015-09-11 20:31:15,10,-87,39.32766423,-76.62335166,26,5,WIFI
310260_20233_10246147,T-Mobile ,UNKNOWN;us,2015-09-11 20:31:35,0,-113,39.32851168,-76.62292766,25,9,GSM
310260_20233_10246145,T-Mobile ,UNKNOWN;us,2015-09-11 20:31:47,0,-113,39.32887983,-76.62335235,31,5,GSM
00:90:a9:cd:a9:a6,urania,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2015-09-11 20:32:03,11,-93,39.32962397,-76.62378294,25,10,WIFI
88:1f:a1:42:7f:52,StarrAMX,[WPA2-PSK-CCMP][ESS],2015-09-11 20:32:07,6,-93,39.32990104,-76.62374745,25,8,WIFI
310260_20233_10246145,T-Mobile ,UNKNOWN;us,2015-09-11 20:32:07,0,-113,39.32990104,-76.62374745,25,8,GSM
02:2a:2a:4d:ae:4a,HP7B0713,[IBSS],2015-09-11 20:32:10,10,-93,39.33005273,-76.62366868,26,10,WIFI
ba:8d:12:62:e6:e8,Ménard's Guest Network,[WPA2-PSK-CCMP][ESS],2015-09-11 20:32:19,11,-87,39.33043637,-76.62318628,22,7,WIFI
b8:8d:12:62:e6:e7,BM's Network,[WPA2-PSK-CCMP][ESS],2015-09-11 20:32:19,11,-90,39.33043637,-76.62318628,22,7,WIFI
00:22:6b:5d:8e:b3,ttbar,[WPA-PSK-TKIP][WPS][ESS],2015-09-11 20:32:19,11,-90,39.33043637,-76.62318628,22,7,WIFI
00:0e:3b:45:68:58,jhucas-223,[ESS],2015-09-11 20:32:19,1,-90,39.33043637,-76.62318628,22,7,WIFI
00:0c:41:be:3c:8b,idg_office,[WPA2-PSK-CCMP+TKIP][ESS],2015-09-11 20:32:23,6,-90,39.33058064,-76.62297216,21,11,WIFI
00:90:a9:cd:a9:a6,urania,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2015-09-11 20:32:27,11,-87,39.33061884,-76.62273552,23,12,WIFI
00:24:73:1e:b9:1f,jhucas-215,[ESS],2015-09-11 20:32:27,1,-93,39.33061884,-76.62273552,23,12,WIFI
310260_20233_10246145,T-Mobile ,UNKNOWN;us,2015-09-11 20:32:27,0,-113,39.33061884,-76.62273552,23,12,GSM
ba:8d:12:62:e6:e8,Ménard's Guest Network,[WPA2-PSK-CCMP][ESS],2015-09-11 20:32:39,11,-93,39.33071244,-76.62218198,23,11,WIFI
b8:8d:12:62:e6:e7,BM's Network,[WPA2-PSK-CCMP][ESS],2015-09-11 20:32:39,11,-93,39.33071244,-76.62218198,23,11,WIFI
00:18:f8:65:6c:32,linksys-arabinose,[WPA-PSK-CCMP][WPA2-PSK-CCMP][ESS],2015-09-11 20:32:47,6,-87,39.33075713,-76.62188934,27,10,WIFI
e8:de:27:80:7a:ba,TP-LINK_807ABA,[WPA2-PSK-CCMP][WPS][ESS],2015-09-11 20:32:47,6,-93,39.33075713,-76.62188934,27,10,WIFI
a0:63:91:cc:44:ee,CC-WiFi,[WPA2-PSK-CCMP][WPS][ESS],2015-09-11 20:32:47,9,-93,39.33075713,-76.62188934,27,10,WIFI
310260_20233_10246145,T-Mobile ,UNKNOWN;us,2015-09-11 20:32:55,0,-113,39.33064462,-76.62164117,27,9,GSM
68:bd:ab:85:bc:4f,hopkins,[WPA2-EAP-CCMP][ESS],2015-09-11 20:33:11,149,-86,39.33046296,-76.62165636,33,4,WIFI
68:bd:ab:85:bc:42,eduroam,[WPA2-EAP-CCMP][ESS],2015-09-11 20:33:15,1,-81,39.33031046,-76.62169839,34,4,WIFI
68:bd:ab:d2:0c:42,eduroam,[WPA2-EAP-CCMP][ESS],2015-09-11 20:33:23,6,-87,39.32998359,-76.62177089,36,5,WIFI
68:bd:ab:d2:0c:40,hopkins,[WPA2-EAP-CCMP][ESS],2015-09-11 20:33:27,6,-79,39.32985331,-76.62183555,40,5,WIFI
68:bd:ab:d2:0c:41,JHGuestnet,[ESS],2015-09-11 20:33:27,6,-79,39.32985331,-76.62183555,40,5,WIFI
04:da:d2:1f:31:82,eduroam,[WPA2-EAP-CCMP][ESS],2015-09-11 20:33:31,1,-79,39.32983137,-76.62196166,41,4,WIFI
00:12:cf:c3:1b:ef,,[ESS],2015-09-11 20:33:35,11,-93,39.32987153,-76.62211907,42,5,WIFI
68:bd:ab:d2:0f:2d,eduroam,[WPA2-EAP-CCMP][ESS],2015-09-11 20:33:39,36,-80,39.32992698,-76.62232939,37,4,WIFI
68:bd:ab:d2:0f:2f,hopkins,[WPA2-EAP-CCMP][ESS],2015-09-11 20:33:39,36,-80,39.32992698,-76.62232939,37,4,WIFI
00:17:0f:db:35:3f,hopkins,[WPA2-EAP-CCMP][ESS],2015-09-11 20:33:39,48,-85,39.32992698,-76.62232939,37,4,WIFI
80:ea:96:eb:b6:18,Nichols House,[WPA2-PSK-CCMP][ESS],2015-09-11 20:33:39,1,-87,39.32992698,-76.62232939,37,4,WIFI
94:63:d1:2f:cd:11,Galaxy Tab_CD11,[WPA2-PSK-CCMP][ESS],2015-09-11 20:33:39,6,-93,39.32992698,-76.62232939,37,4,WIFI
68:bd:ab:d2:0f:2e,JHGuestnet,[ESS],2015-09-11 20:33:39,36,-80,39.32992698,-76.62232939,37,4,WIFI
68:bd:ab:d2:0a:42,eduroam,[WPA2-EAP-CCMP][ESS],2015-09-11 20:33:43,11,-78,39.32997326,-76.62252855,37,5,WIFI
68:bd:ab:d2:0f:20,hopkins,[WPA2-EAP-CCMP][ESS],2015-09-11 20:33:43,1,-84,39.32997326,-76.62252855,37,5,WIFI
68:bd:ab:d2:0a:41,JHGuestnet,[ESS],2015-09-11 20:33:43,11,-76,39.32997326,-76.62252855,37,5,WIFI
68:bd:ab:d2:0a:40,hopkins,[WPA2-EAP-CCMP][ESS],2015-09-11 20:33:47,11,-80,39.33005472,-76.62262355,38,4,WIFI
310260_20233_10246145,T-Mobile ,UNKNOWN;us,2015-09-11 20:33:52,0,-113,39.33006193,-76.62273404,35,4,GSM
00:17:0f:db:35:3d,eduroam,[WPA2-EAP-CCMP][ESS],2015-09-11 20:34:03,48,-81,39.32991512,-76.62231962,34,4,WIFI
00:17:0f:db:35:3e,JHGuestnet,[ESS],2015-09-11 20:34:03,48,-82,39.32991512,-76.62231962,34,4,WIFI
04:da:d2:1f:31:80,hopkins,[WPA2-EAP-CCMP][ESS],2015-09-11 20:34:16,1,-80,39.32991206,-76.62177115,24,4,WIFI
04:da:d2:1f:31:81,JHGuestnet,[ESS],2015-09-11 20:34:16,1,-84,39.32991206,-76.62177115,24,4,WIFI
310260_20233_10246145,T-Mobile ,UNKNOWN;us,2015-09-11 20:34:19,0,-113,39.33001702,-76.62172598,24,4,GSM
04:da:d2:1f:9a:22,eduroam,[WPA2-EAP-CCMP][ESS],2015-09-11 20:34:36,6,-80,39.32996648,-76.62124162,34,7,WIFI
1c:1d:86:06:ba:b2,eduroam,[WPA2-EAP-CCMP][ESS],2015-09-11 20:34:36,11,-85,39.32996648,-76.62124162,34,7,WIFI
1c:1d:86:06:ba:b0,hopkins,[WPA2-EAP-CCMP][ESS],2015-09-11 20:34:36,11,-85,39.32996648,-76.62124162,34,7,WIFI
04:da:d2:1f:9a:21,JHGuestnet,[ESS],2015-09-11 20:34:36,6,-78,39.32996648,-76.62124162,34,7,WIFI
90:72:40:0c:f8:ce,Morgan_Merg,[ESS],2015-09-11 20:34:36,1,-93,39.32996648,-76.62124162,34,7,WIFI
04:da:d2:1f:9a:20,hopkins,[WPA2-EAP-CCMP][ESS],2015-09-11 20:34:40,6,-81,39.32991909,-76.62118505,30,5,WIFI
7c:95:f3:8a:3e:c0,hopkins,[WPA2-EAP-CCMP][ESS],2015-09-11 20:34:40,11,-83,39.32991909,-76.62118505,30,5,WIFI
7c:95:f3:8a:3e:c1,JHGuestnet,[ESS],2015-09-11 20:34:40,11,-84,39.32991909,-76.62118505,30,5,WIFI
1c:1d:86:06:ba:b1,JHGuestnet,[ESS],2015-09-11 20:34:40,11,-84,39.32991909,-76.62118505,30,5,WIFI
00:19:a9:ce:a6:a0,hopkins,[WPA2-EAP-CCMP][ESS],2015-09-11 20:34:44,1,-77,39.3298082,-76.62121999,31,4,WIFI
00:19:a9:ce:a6:a2,eduroam,[WPA2-EAP-CCMP][ESS],2015-09-11 20:34:44,1,-81,39.3298082,-76.62121999,31,4,WIFI
00:19:a9:ce:a6:a1,JHGuestnet,[ESS],2015-09-11 20:34:44,1,-79,39.3298082,-76.62121999,31,4,WIFI
88:f0:77:2e:9a:2d,eduroam,[WPA2-EAP-CCMP][ESS],2015-09-11 20:34:47,161,-78,39.32969865,-76.62126194,31,5,WIFI
88:f0:77:2e:9a:2f,hopkins,[WPA2-EAP-CCMP][ESS],2015-09-11 20:34:47,161,-78,39.32969865,-76.62126194,31,5,WIFI
88:f0:77:84:35:3d,eduroam,[WPA2-EAP-CCMP][ESS],2015-09-11 20:34:47,60,-82,39.32969865,-76.62126194,31,5,WIFI
88:f0:77:2e:9a:2e,JHGuestnet,[ESS],2015-09-11 20:34:47,161,-78,39.32969865,-76.62126194,31,5,WIFI
88:f0:77:84:35:3e,JHGuestnet,[ESS],2015-09-11 20:34:47,60,-83,39.32969865,-76.62126194,31,5,WIFI
90:72:40:0c:f8:cf,Morgan_Merg,[ESS],2015-09-11 20:34:47,149,-85,39.32969865,-76.62126194,31,5,WIFI
00:f7:6f:d2:73:41,Morgan_Merg3a,[ESS],2015-09-11 20:34:47,52,-87,39.32969865,-76.62126194,31,5,WIFI
e8:8d:28:5e:67:30,Morgan_Merg4,[ESS],2015-09-11 20:34:47,149,-90,39.32969865,-76.62126194,31,5,WIFI
88:f0:77:84:35:fd,eduroam,[WPA2-EAP-CCMP][ESS],2015-09-11 20:34:52,36,-85,39.3295664,-76.62140313,36,6,WIFI
e8:8d:28:5e:67:2f,Morgan_Merg4,[ESS],2015-09-11 20:34:52,10,-81,39.3295664,-76.62140313,36,6,WIFI
88:f0:77:84:35:fe,JHGuestnet,[ESS],2015-09-11 20:34:52,36,-86,39.3295664,-76.62140313,36,6,WIFI
00:f7:6f:d2:73:40,Morgan_Merg3a,[ESS],2015-09-11 20:34:52,1,-84,39.3295664,-76.62140313,36,6,WIFI
00:1c:57:88:16:2f,hopkins,[WPA2-EAP-CCMP][ESS],2015-09-11 20:35:08,149,-74,39.32911782,-76.62205285,35,4,WIFI
00:1c:57:88:16:2d,eduroam,[WPA2-EAP-CCMP][ESS],2015-09-11 20:35:08,149,-75,39.32911782,-76.62205285,35,4,WIFI
88:1d:fc:12:b0:fd,eduroam,[WPA2-EAP-CCMP][ESS],2015-09-11 20:35:08,157,-79,39.32911782,-76.62205285,35,4,WIFI
88:1d:fc:12:b0:ff,hopkins,[WPA2-EAP-CCMP][ESS],2015-09-11 20:35:08,157,-81,39.32911782,-76.62205285,35,4,WIFI
00:1c:57:88:16:2e,JHGuestnet,[ESS],2015-09-11 20:35:08,149,-75,39.32911782,-76.62205285,35,4,WIFI
88:1d:fc:12:b0:fe,JHGuestnet,[ESS],2015-09-11 20:35:08,157,-79,39.32911782,-76.62205285,35,4,WIFI
04:da:d2:1f:9a:22,eduroam,[WPA2-EAP-CCMP][ESS],2015-09-11 20:35:12,6,-84,39.32894219,-76.62208185,35,5,WIFI
04:da:d2:1f:9a:21,JHGuestnet,[ESS],2015-09-11 20:35:12,6,-73,39.32894219,-76.62208185,35,5,WIFI
90:72:40:0c:f8:ce,Morgan_Merg,[ESS],2015-09-11 20:35:12,1,-93,39.32894219,-76.62208185,35,5,WIFI
f4:4e:05:ea:a6:3d,eduroam,[WPA2-EAP-CCMP][ESS],2015-09-11 20:35:12,58,-69,39.32894219,-76.62208185,35,5,WIFI
f4:4e:05:ea:a6:3f,hopkins,[WPA2-EAP-CCMP][ESS],2015-09-11 20:35:12,58,-70,39.32894219,-76.62208185,35,5,WIFI
00:17:0f:db:35:32,eduroam,[WPA2-EAP-CCMP][ESS],2015-09-11 20:35:12,11,-71,39.32894219,-76.62208185,35,5,WIFI
00:17:0f:db:35:30,hopkins,[WPA2-EAP-CCMP][ESS],2015-09-11 20:35:12,11,-71,39.32894219,-76.62208185,35,5,WIFI
00:1c:57:88:16:22,eduroam,[WPA2-EAP-CCMP][ESS],2015-09-11 20:35:12,11,-75,39.32894219,-76.62208185,35,5,WIFI
f4:4e:05:ea:a6:30,hopkins,[WPA2-EAP-CCMP][ESS],2015-09-11 20:35:12,6,-76,39.32894219,-76.62208185,35,5,WIFI
f4:4e:05:ea:a6:32,eduroam,[WPA2-EAP-CCMP][ESS],2015-09-11 20:35:12,6,-76,39.32894219,-76.62208185,35,5,WIFI
88:1d:fc:12:b0:f0,hopkins,[WPA2-EAP-CCMP][ESS],2015-09-11 20:35:12,1,-77,39.32894219,-76.62208185,35,5,WIFI
88:1d:fc:12:b0:f2,eduroam,[WPA2-EAP-CCMP][ESS],2015-09-11 20:35:12,1,-78,39.32894219,-76.62208185,35,5,WIFI
f4:4e:05:ea:a6:3e,JHGuestnet,[ESS],2015-09-11 20:35:12,58,-70,39.32894219,-76.62208185,35,5,WIFI
00:17:0f:db:35:31,JHGuestnet,[ESS],2015-09-11 20:35:12,11,-71,39.32894219,-76.62208185,35,5,WIFI
00:1c:57:88:16:21,JHGuestnet,[ESS],2015-09-11 20:35:12,11,-75,39.32894219,-76.62208185,35,5,WIFI
f4:4e:05:ea:a6:31,JHGuestnet,[ESS],2015-09-11 20:35:12,6,-76,39.32894219,-76.62208185,35,5,WIFI
310260_20233_10246145,T-Mobile ,UNKNOWN;us,2015-09-11 20:35:12,0,-113,39.32894219,-76.62208185,35,5,GSM
04:da:d2:1f:31:82,eduroam,[WPA2-EAP-CCMP][ESS],2015-09-11 20:35:16,1,-71,39.32881754,-76.62205539,33,4,WIFI
04:da:d2:1f:31:81,JHGuestnet,[ESS],2015-09-11 20:35:16,1,-71,39.32881754,-76.62205539,33,4,WIFI
04:da:d2:1f:31:80,hopkins,[WPA2-EAP-CCMP][ESS],2015-09-11 20:35:16,1,-71,39.32881754,-76.62205539,33,4,WIFI
00:17:0f:db:35:3f,hopkins,[WPA2-EAP-CCMP][ESS],2015-09-11 20:35:16,48,-80,39.32881754,-76.62205539,33,4,WIFI
00:17:0f:db:35:3d,eduroam,[WPA2-EAP-CCMP][ESS],2015-09-11 20:35:16,48,-80,39.32881754,-76.62205539,33,4,WIFI
00:17:0f:db:35:3e,JHGuestnet,[ESS],2015-09-11 20:35:16,48,-80,39.32881754,-76.62205539,33,4,WIFI
00:1c:57:88:16:20,hopkins,[WPA2-EAP-CCMP][ESS],2015-09-11 20:35:16,11,-71,39.32881754,-76.62205539,33,4,WIFI
88:1d:fc:12:b0:f1,JHGuestnet,[ESS],2015-09-11 20:35:16,1,-85,39.32881754,-76.62205539,33,4,WIFI
c4:0a:cb:df:01:b2,eduroam,[WPA2-EAP-CCMP][ESS],2015-09-11 20:35:20,6,-81,39.32861607,-76.62201223,32,5,WIFI
3c:77:e6:76:8d:f4,HP-Print-F4-LaserJet 1102,[ESS],2015-09-11 20:35:20,6,-93,39.32861607,-76.62201223,32,5,WIFI
f0:9e:63:5d:72:80,hopkins,[WPA2-EAP-CCMP-preauth][ESS],2015-09-11 20:35:24,1,-74,39.3284163,-76.6220089,31,4,WIFI
c4:0a:cb:df:01:b0,hopkins,[WPA2-EAP-CCMP][ESS],2015-09-11 20:35:24,6,-81,39.3284163,-76.6220089,31,4,WIFI
c4:0a:cb:df:01:b1,JHGuestnet,[ESS],2015-09-11 20:35:32,6,-72,39.32818936,-76.62202584,29,4,WIFI
c4:0a:cb:df:01:bf,hopkins,[WPA2-EAP-CCMP][ESS],2015-09-11 20:35:36,36,-82,39.32813738,-76.62216025,28,4,WIFI
c4:0a:cb:df:01:bd,eduroam,[WPA2-EAP-CCMP][ESS],2015-09-11 20:35:36,36,-83,39.32813738,-76.62216025,28,4,WIFI
88:1d:fc:19:c6:3d,eduroam,[WPA2-EAP-CCMP][ESS],2015-09-11 20:35:36,48,-85,39.32813738,-76.62216025,28,4,WIFI
c4:0a:cb:df:01:be,JHGuestnet,[ESS],2015-09-11 20:35:36,36,-83,39.32813738,-76.62216025,28,4,WIFI
88:75:56:6e:a0:c2,eduroam,[WPA2-EAP-CCMP][ESS],2015-09-11 20:35:48,11,-86,39.32788537,-76.62287076,26,6,WIFI
310260_20233_10246145,T-Mobile ,UNKNOWN;us,2015-09-11 20:35:48,0,-113,39.32788537,-76.62287076,26,6,GSM
c4:0a:cb:df:01:b2,eduroam,[WPA2-EAP-CCMP][ESS],2015-09-11 20:35:56,6,-77,39.32756352,-76.62307285,28,5,WIFI
c4:0a:cb:df:01:b0,hopkins,[WPA2-EAP-CCMP][ESS],2015-09-11 20:35:56,6,-79,39.32756352,-76.62307285,28,5,WIFI
c4:0a:cb:df:01:b1,JHGuestnet,[ESS],2015-09-11 20:35:56,6,-77,39.32756352,-76.62307285,28,5,WIFI
90:48:9a:38:5e:ef,HP-Print-ef-LaserJet 200,[ESS],2015-09-11 20:36:04,6,-93,39.32731736,-76.62295919,29,6,WIFI
02:24:04:84:be:82,HPE710n.5D9777,[IBSS],2015-09-11 20:36:12,6,-93,39.3270826,-76.62295706,30,6,WIFI
18:9c:5d:5d:bb:62,eduroam,[WPA2-EAP-CCMP][ESS],2015-09-11 20:36:16,6,-82,39.32695136,-76.62296392,30,6,WIFI
18:9c:5d:5d:bb:60,hopkins,[WPA2-EAP-CCMP][ESS],2015-09-11 20:36:16,6,-84,39.32695136,-76.62296392,30,6,WIFI
18:9c:5d:5d:bb:61,JHGuestnet,[ESS],2015-09-11 20:36:16,6,-84,39.32695136,-76.62296392,30,6,WIFI
90:72:40:11:7e:a6,dotednetwork,[WPA-PSK-TKIP][WPA2-PSK-CCMP+TKIP][ESS],2015-09-11 20:36:20,6,-90,39.32682883,-76.62290506,29,6,WIFI
310260_20233_10246145,T-Mobile ,UNKNOWN;us,2015-09-11 20:36:20,0,-113,39.32682883,-76.62290506,29,6,GSM
fc:5b:39:50:0b:0d,eduroam,[WPA2-EAP-CCMP][ESS],2015-09-11 20:36:24,44,-79,39.32668022,-76.6227508,28,5,WIFI
00:c0:ca:85:06:23,wyman,[WPA2-PSK-CCMP][ESS],2015-09-11 20:36:28,6,-75,39.32643541,-76.62251833,27,4,WIFI
0c:82:68:e9:65:ca,TP-LINK_E965CA,[WPA-PSK-CCMP][WPA2-PSK-CCMP][ESS],2015-09-11 20:36:28,6,-81,39.32643541,-76.62251833,27,4,WIFI
fc:5b:39:50:0b:0e,JHGuestnet,[ESS],2015-09-11 20:36:28,44,-83,39.32643541,-76.62251833,27,4,WIFI
90:48:9a:38:5e:ef,HP-Print-ef-LaserJet 200,[ESS],2015-09-11 20:36:32,6,-90,39.32626649,-76.62244162,27,4,WIFI
ec:e1:a9:30:ec:42,eduroam,[WPA2-EAP-CCMP][ESS],2015-09-11 20:36:32,6,-76,39.32626649,-76.62244162,27,4,WIFI
ec:e1:a9:30:ec:40,hopkins,[WPA2-EAP-CCMP][ESS],2015-09-11 20:36:32,6,-76,39.32626649,-76.62244162,27,4,WIFI
ec:e1:a9:30:ec:41,JHGuestnet,[ESS],2015-09-11 20:36:32,6,-76,39.32626649,-76.62244162,27,4,WIFI
00:27:22:28:61:54,DH_E,[WPA2-PSK-CCMP][ESS],2015-09-11 20:36:36,161,-90,39.32612708,-76.62239178,27,4,WIFI
fc:5b:39:50:0b:0f,hopkins,[WPA2-EAP-CCMP][ESS],2015-09-11 20:36:40,44,-73,39.32604365,-76.62238187,25,5,WIFI
02:27:77:55:c9:54,HPCM1415-0dbb42,[IBSS],2015-09-11 20:36:40,6,-93,39.32604365,-76.62238187,25,5,WIFI
00:11:50:c8:d1:ea,belkin54g,[WPA-PSK-TKIP][ESS],2015-09-11 20:36:48,11,-93,39.32592261,-76.62249839,25,4,WIFI
310260_20233_10246147,T-Mobile ,UNKNOWN;us,2015-09-11 20:36:48,0,-113,39.32592261,-76.62249839,25,4,GSM
00:18:3a:96:be:b2,08FX03029829,[WEP][ESS],2015-09-11 20:36:53,11,-90,39.32580379,-76.62255153,25,4,WIFI
fc:5b:39:50:0b:0d,eduroam,[WPA2-EAP-CCMP][ESS],2015-09-11 20:36:57,44,-79,39.32558359,-76.62240032,25,6,WIFI
ac:a0:16:52:61:ad,eduroam,[WPA2-EAP-CCMP][ESS],2015-09-11 20:36:57,44,-80,39.32558359,-76.62240032,25,6,WIFI
90:72:40:11:7e:a6,dotednetwork,[WPA-PSK-TKIP][WPA2-PSK-CCMP+TKIP][ESS],2015-09-11 20:36:57,6,-78,39.32558359,-76.62240032,25,6,WIFI
ac:a0:16:52:61:a2,eduroam,[WPA2-EAP-CCMP][ESS],2015-09-11 20:36:57,11,-82,39.32558359,-76.62240032,25,6,WIFI
ac:a0:16:52:61:ae,JHGuestnet,[ESS],2015-09-11 20:36:57,44,-79,39.32558359,-76.62240032,25,6,WIFI
ac:a0:16:52:61:a1,JHGuestnet,[ESS],2015-09-11 20:36:57,11,-82,39.32558359,-76.62240032,25,6,WIFI
00:c0:ca:85:06:23,wyman,[WPA2-PSK-CCMP][ESS],2015-09-11 20:37:01,6,-84,39.32542351,-76.62223075,24,5,WIFI
a4:0c:c3:d1:81:4d,eduroam,[WPA2-EAP-CCMP][ESS],2015-09-11 20:37:01,40,-82,39.32542351,-76.62223075,24,5,WIFI
a4:0c:c3:d1:81:4f,hopkins,[WPA2-EAP-CCMP][ESS],2015-09-11 20:37:01,40,-83,39.32542351,-76.62223075,24,5,WIFI
ac:a0:16:52:61:a0,hopkins,[WPA2-EAP-CCMP][ESS],2015-09-11 20:37:01,11,-82,39.32542351,-76.62223075,24,5,WIFI
04:18:d6:74:ae:00,Thread,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2015-09-11 20:37:01,1,-93,39.32542351,-76.62223075,24,5,WIFI
f8:e4:fb:fd:ef:d9,DDDKT,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2015-09-11 20:37:05,6,-84,39.32533697,-76.62215036,25,4,WIFI
18:1b:eb:c4:e5:4d,245w31st,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2015-09-11 20:37:05,6,-87,39.32533697,-76.62215036,25,4,WIFI
00:1d:a1:76:1c:c0,Xy34HH32,[WPA2-PSK-CCMP][ESS],2015-09-11 20:37:05,11,-93,39.32533697,-76.62215036,25,4,WIFI
14:35:8b:04:f9:38,SD154,[WPA2-PSK-CCMP][WPS][ESS],2015-09-11 20:37:05,1,-93,39.32533697,-76.62215036,25,4,WIFI
00:1d:a1:76:1c:c2,,[WPA-PSK-TKIP][ESS],2015-09-11 20:37:05,11,-93,39.32533697,-76.62215036,25,4,WIFI
90:72:40:11:7e:a7,dotednetwork 5GHz,[WPA-PSK-TKIP][WPA2-PSK-CCMP+TKIP][ESS],2015-09-11 20:37:09,48,-85,39.32523264,-76.62196397,25,3,WIFI
5c:a4:8a:e0:da:c2,eduroam,[WPA2-EAP-CCMP][ESS],2015-09-11 20:37:09,1,-82,39.32523264,-76.62196397,25,3,WIFI
5c:a4:8a:e0:da:c0,hopkins,[WPA2-EAP-CCMP][ESS],2015-09-11 20:37:09,1,-82,39.32523264,-76.62196397,25,3,WIFI
28:c6:8e:88:d8:a4,Nacho Wifi,[WPA2-PSK-CCMP][WPS][ESS],2015-09-11 20:37:09,6,-93,39.32523264,-76.62196397,25,3,WIFI
5c:a4:8a:e0:da:c1,JHGuestnet,[ESS],2015-09-11 20:37:09,1,-81,39.32523264,-76.62196397,25,3,WIFI
00:12:0e:7b:be:eb,afc,[WEP][ESS],2015-09-11 20:37:13,6,-93,39.32514208,-76.62171634,25,4,WIFI
02:27:77:55:c9:54,HPCM1415-0dbb42,[IBSS],2015-09-11 20:37:17,6,-87,39.32501591,-76.62138432,24,4,WIFI
00:11:50:c8:d1:ea,belkin54g,[WPA-PSK-TKIP][ESS],2015-09-11 20:37:17,11,-84,39.32501591,-76.62138432,24,4,WIFI
90:72:40:11:7e:a6,dotednetwork,[WPA-PSK-TKIP][WPA2-PSK-CCMP+TKIP][ESS],2015-09-11 20:37:17,6,-75,39.32501591,-76.62138432,24,4,WIFI
00:24:36:ad:d0:bf,dotednetwork,[WPA-PSK-TKIP][WPA2-PSK-CCMP+TKIP][ESS],2015-09-11 20:37:17,6,-93,39.32501591,-76.62138432,24,4,WIFI
46:32:c8:5b:c9:8d,,[WPA2-PSK-CCMP][ESS],2015-09-11 20:37:17,11,-93,39.32501591,-76.62138432,24,4,WIFI
46:32:c8:5b:c9:8e,xfinitywifi,[ESS],2015-09-11 20:37:17,11,-93,39.32501591,-76.62138432,24,4,WIFI
310260_20233_10246147,T-Mobile ,UNKNOWN;us,2015-09-11 20:37:17,0,-113,39.32501591,-76.62138432,24,4,GSM
f8:e4:fb:fd:ef:d9,DDDKT,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2015-09-11 20:37:21,6,-90,39.32488244,-76.62106451,23,4,WIFI
14:35:8b:04:f9:38,SD154,[WPA2-PSK-CCMP][WPS][ESS],2015-09-11 20:37:21,1,-87,39.32488244,-76.62106451,23,4,WIFI
5c:8f:e0:ca:21:a9,PuffinBurrow,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2015-09-11 20:37:21,36,-89,39.32488244,-76.62106451,23,4,WIFI
f8:e4:fb:c4:a3:95,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2015-09-11 20:37:21,1,-90,39.32488244,-76.62106451,23,4,WIFI
